posts,totalPosts,readingRate,postStock,wknd
0,344646.3632,7.482298598,0.590067844,1
0,346568.3697,7.048488015,1.50913197,1
0,343309.8884,7.529917101,1.255433094,1
0,349621.3878,8.136415847,0.000528022,0
0,352147.9628,7.793925537,0.034876975,0
0,361578.0486,7.715874929,0.001825268,0
0,362322.0218,7.622004277,1.474000012,0
0,366054.3301,7.491666604,0.126720544,1
0,364893.0413,7.136724206,0.050312787,1
0,359180.1714,7.387899476,1.107337588,1
0,361771.7863,7.98326489,0.643980097,0
0,367024.8065,8.060626823,0.889953997,0
0,374638.2824,7.500189201,0.000369699,0
0,377147.4141,7.288144892,0.118387072,0
0,376261.6442,7.223340571,0.204511646,1
0,365971.8318,7.087086422,0.078025782,1
0,363434.24,7.350259568,1.565724746,1
0,365104.0349,8.223299972,2.435502259,0
0,367716.6737,7.912888395,0.027850232,0
1,370633.1885,7.652137174,0.000578832,0
0,371843.6599,7.469617743,2.698712962,0
0,369047.7774,7.534433671,0.010290057,1
0,362831.2119,7.189497249,2.761974467,1
0,356494.6032,7.485731835,2.119563328,1
0,363540.5226,8.408633454,0.405662255,0
0,370608.3651,8.099288312,0.025680877,0
0,371006.3651,7.944645368,0.12038973,0
0,372297.6911,7.869248374,0.027898983,0
0,378849.3983,7.556097522,2.008111744,1
0,366810.0066,7.157637341,2.79E-08,1
0,356870.9748,7.315117183,0.004942407,1
0,366265.9085,8.592566022,0.52014041,0
0,372200.9745,8.142700335,0.008471677,0
0,377001.1182,8.142745078,0.062411153,0
0,377330.8241,7.947744547,0.372096295,0
0,376240.8174,7.909591045,1.461293691,1
0,370396.4824,7.573211769,0.088691683,1
0,372045.2075,7.874583359,1.89E-07,1
0,380657.318,8.738450157,0.85510613,0
0,385347.4433,8.498276183,4.11E-08,0
0,391324.0657,8.220432326,10.32725271,0
0,394706.8364,8.530429902,2.9482114,0
0,399871.9385,7.790416632,1.69E-05,1
0,391196.6186,7.449479012,0.065799054,1
0,382584.9079,7.604832129,0.298124124,1
0,381000.0772,8.453830309,1.302366072,0
0,382767.0569,8.127029075,0.010436308,0
0,376022.3209,8.072010174,0.048191841,0
0,376894.4505,7.910944287,2.06E-08,0
0,375672.21,7.716972197,0.060855111,1
0,366459.4188,7.302519359,5.14E-08,1
0,361307.5916,7.552307405,0.025680877,1
0,363242.695,8.325970601,0.001700242,0
0,366311.8662,8.046971097,2.10E-05,0
0,367819.8454,7.738070785,0.170467015,0
0,363487.2261,7.444302869,7.64E-07,0
0,350320.0856,7.235457241,0.760608806,1
2,346593.9031,7.426284701,0.000659507,1
0,341734.7066,7.709395473,0.930395527,1
0,343350.4788,8.346014284,0.002775171,0
0,344646.3632,7.482298598,0.090077283,1
0,346568.3697,7.048488015,2.757290323,1
0,343309.8884,7.529917101,9.20E-06,1
0,349621.3878,8.136415847,0.427801077,0
0,352147.9628,7.793925537,0.047283401,0
0,361578.0486,7.715874929,0.829600797,0
0,362322.0218,7.622004277,4.432261577,0
0,366054.3301,7.491666604,3.733795714,1
0,364893.0413,7.136724206,3.12E-05,1
0,359180.1714,7.387899476,5.980805947,1
0,361771.7863,7.98326489,0.23761305,0
0,367024.8065,8.060626823,2.317516275,0
0,374638.2824,7.500189201,4.960690319,0
0,377147.4141,7.288144892,1.158391366,0
0,376261.6442,7.223340571,0.003039849,1
0,365971.8318,7.087086422,11.2120196,1
0,363434.24,7.350259568,9.35E-05,1
0,365104.0349,8.223299972,0.737027363,0
0,367716.6737,7.912888395,8.63E-05,0
0,370633.1885,7.652137174,0.045621994,0
0,371843.6599,7.469617743,0.001214185,0
0,369047.7774,7.534433671,0.016752073,1
0,362831.2119,7.189497249,1.157572394,1
0,356494.6032,7.485731835,1.380371476,1
0,363540.5226,8.408633454,22.96776492,0
0,370608.3651,8.099288312,5.559867821,0
0,371006.3651,7.944645368,0.78427974,0
0,372297.6911,7.869248374,0.005662292,0
0,378849.3983,7.556097522,6.305934936,1
0,366810.0066,7.157637341,0.111438322,1
0,356870.9748,7.315117183,0.988071093,1
0,366265.9085,8.592566022,2.25E-05,0
2,372200.9745,8.142700335,5.061195924,0
0,377001.1182,8.142745078,0.006236582,0
