CustomerID,Age,Income,HomeVal,Tenure,DirectDeposit,Loan,NumAccounts,Dist,MktShare,ChurnTime,Censored
1,62,4.8,27.5,2.529774127,0,0,2,1.302307692,0.029138509,5,0
2,47,15,47.5,2.809034908,0,0,2,1.302307692,0.029138509,5.2,0
3,42,3.8,18.7,2.74880219,0,0,2,1.302307692,0.029138509,4.2,0
4,47,7.5,55,8.010951403,0,1,3,1.302307692,0.029138509,0.1,0
5,67,15,95,11.00342231,0,1,3,3.516,0.029138509,12.5,0
6,57,15,37.5,2.759753593,0,0,1,6.6025,0.029138509,5.4,0
7,52,9.5,37.5,11.20876112,1,0,2,1.302307692,0.029138509,8.4,0
8,70,4.8,11.3,15.93429158,0,0,1,1.302307692,0.029138509,4.2,0
9,77,15,95,11.51813826,0,1,4,4.561111111,0.01089193,2.8,1
10,32,15,55,2.099931554,1,1,5,1.282424242,0.029138509,6.1,0
11,77,15,65,2.737850787,1,0,1,1.282424242,0.029138509,13.7,0
12,77,8.5,32.5,2.151950719,1,0,2,1.282424242,0.029138509,10.2,0
13,72,3.8,27.5,3.507186858,0,0,2,1.282424242,0.029138509,8,0
14,67,15,55,2.548939083,0,0,2,1.282424242,0.029138509,10.2,0
15,72,15,47.5,2.762491444,0,0,1,1.282424242,0.029138509,6.7,0
16,52,13.5,42.5,2.26146475,0,0,2,1.282424242,0.029138509,5.7,0
17,27,6.5,13.7,2.800821355,1,0,1,2.5328125,0.122971377,10.7,1
18,42,15,55,1.270362765,0,0,1,1.282424242,0.029138509,6.9,0
19,37,15,75,21.54140999,0,1,4,1.920789474,0.1480123,8.2,0
20,47,7.5,16.3,12.92813142,0,0,2,2.5328125,0.122971377,12.2,0
21,62,3.3,11.3,1.875427789,0,0,1,2.5328125,0.122971377,8.8,1
22,32,8.5,55,1.11156742,1,0,1,1.920789474,0.1480123,9,0
23,57,8.5,22.5,32.24914442,0,0,2,2.5328125,0.122971377,13.7,0
24,42,9.5,16.3,17.48665298,1,0,3,2.5328125,0.122971377,15.7,0
25,77,0.5,13.7,27.67419576,1,0,3,2.5328125,0.122971377,7,1
26,52,9.5,16.3,11.40588638,1,0,1,2.5328125,0.122971377,5,1
27,32,7.5,13.7,10.61738535,1,0,1,2.5328125,0.122971377,6.1,0
